<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `d_ih jh_ax t_ax_l `m_ah n_iy </s>	デジタルマネー	ディジタルマニ
<s> `s_ih_n d_ih k_ax `l_ih z_ax_m </s>	サンジカリズム	シンジカリズム
<s> `s_eh f_ow t_aa_k `s_iy_m </s>	セフォタキシム	セフォタキシム
<s> `k_l_aa n_ax_s </s>	クローヌス	クロナス
<s> `b_ae_n d_ih_jh </s>	バンデージ	バンデージ
<s> `b_r_ae_n_d `l_oy ax_l t_iy </s>	ブランドロイヤリティー	ブランドロイヤルティー
<s> `p_ah b_l_ih_k `s_k_uw_l </s>	パブリックスクール	パブリックスクール
<s> `d_r_iy_m </s>	ドリーム	ドリーム
<s> `ae `s_k_aa_t `t_ay </s>	アスコットタイ	アスコットタイ
<s> `s-iy `ey-ch `t-iy `iy `ey `y-uw `eh-n `iy `y-uw `eh-f `d_uw `p_ey_p </s>	シャトーヌフデュパプ	シーエイチティーイーエーユーエヌエーユーエフデュ
<s> `g_ih m_ih_k </s>	ギミック	ギミック
<s> `g_r_ae p_l_ih_ng </s>	グラップリング	グラプリング
<s> `eh v_ax `l_uw sh_ax_n </s>	エボリューション	エバリューション
<s> `t_ah_f_t </s>	タフト	タフト
<s> `hh_aa_r_d `l_ih_ng_k </s>	ハードリンク	ハードリンク
<s> s_ih `d_ae_n </s>	セダン	シダン
<s> `n_ay_t `l_ae_m_p </s>	ナイトランプ	ナイトランプ
<s> `f_ae m_ax l_iy `s_ay_z </s>	ファミリーサイズ	ファミリサイズ
<s> p_r_ay `ao r_ax t_iy `k_y_uw `s_ih s_t_ax_m </s>	プライオリティキューシステム	プライオリティキュシステム
<s> `s_ao_l `s_ih ch_ax </s>	サルシッチャ	サルシッチャ
<s> `hh_ih_ch `hh_ay k_er </s>	ヒッチハイカー	ヒッチハイカー
<s> `ay_d `ae_l ax_d hh_ax </s>	イードアルアドハー	ドアドハ
<s> `ae p_l_ax `k_ey sh_ax_n `p_r_ow t_ax `k_aa_l </s>	アプリケーションプロトコル	アプリケーションプロトコル
<s> r_ax `b_ae t_ih_k `t_iy_m </s>	アクロバットチーム	リバティックチーム
<s> p_er `s_eh_p t_r_aa_n </s>	パーセプトロン	パーセプトロン
<s> `t_ay_m `s_l_ay_s </s>	タイムスライス	タイムスライス
<s> `hh_ay `l_eh v_ax_l `l_ae_ng g_w_ax_jh </s>	ハイレベルレンゲージ	ハイレベルランゲージ
<s> `m_aa n_ax `d_r_ae m_ax </s>	モノドラマ	モニドラマ
<s> `ow v_er `s_l_ay_d </s>	オーバースライド	オーバースライド
<s> `sh_ao_r_t `p_ae_n_t_s </s>	ショーパン	ショートパンツ
<s> `aw `t_r_ey_jh </s>	アウトレイジ	オトレイジ
<s> `ow_d </s>	オード	オード
<s> `b_ae t_er_z `b_ao_k_s </s>	バッターボックス	バターボックス
<s> `r_ey_l `k_aa_r </s>	トロッコ	レールカー
<s> `w_ao_r </s>	ウオー	ウォー
<s> `hh_ay `b_ao_l </s>	ハイボール	ハイボール
<s> m_ax l_aa `ch_ay_t </s>	マラカイト	マラカイト
<s> `k_ao_z m_ax `n_ao_t </s>	コスモノート	コスモノート
<s> `v_oy s_ih_ng </s>	ボイシング	ボイシング
<s> th_iy ow `f_iy_n </s>	チオフェン	シーオフェン
<s> `m_ao r_ax_l s_ax `p_ao_r_t </s>	モラルサポート	モラルサポート
<s> `b_r_ey_v </s>	ブレイブ	ブレイブ
<s> `d_ih_k sh_ax `n_eh r_iy </s>	ディクショナリ	ディクショナリ
<s> `s_t_uw </s>	シチュー	スタ
<s> eh_n `v_ay r_ax_n m_ax_n_t </s>	エンバイロメント	エンバイリンメント
<s> `m_aa_r k_ax_t `sh_eh_r </s>	マーケットシェア	マーケットシェア
<s> `m_eh l_ax `t_ow n_ax_n </s>	メラトニン	メリトニン
<s> `th_iy_f </s>	シーフ	シーフ
<s> `f_ao_l_t </s>	フォールト	フォールト
<s> `l_ae_n_d `p_iy p_ax_l </s>	ランドピープル	ランドピープル
<s> `d_ay `ow_p t_er </s>	ジオプトリー	ダイオプリート
<s> `t_ey b_ax_l </s>	テーブル	テーブル
<s> `t_eh_k n_ih k_ax_l `m_eh r_ax_t </s>	テクニカルメリット	テクニカルマレー
<s> b_aa `k_aa `l_aa ow </s>	バカラオ	バカロオ
<s> `m_ao_r n_ih_ng `d_r_eh_s </s>	モーニングドレス	モーニングドレス
<s> `b_ey b_iy </s>	ベビー	ベビー
<s> `s_eh_l_f `t_ay m_er </s>	セルフタイマー	セルフタイマー
<s> `s_er f_ax_s `m_aa d_ax_l </s>	サーフィスモデル	サーフィスモデル
<s> `s_k_r_ih_p_t `hh_eh d_er </s>	スクリプトヘッダー	スクリプトヘダー
<s> `s_ae `n_uw `k_ay_t </s>	サヌカイト	サヌカイト
<s> `r_iy ax l_ax jh_iy </s>	レオロジー	リアリジ
<s> `aa_r `m_aa_g `n_ae_k </s>	アルマニャック	アールマニャック
<s> `hh_aw_s `eh_jh </s>	ハウスエッジ	ハウスエッジ
<s> d_ax `m_eh s_t_ih_k </s>	ドメスティック	ディマスティック
<s> `k_ah s_t_ax_m `k_ah l_er </s>	カスタムカラー	カスタムカラー
<s> `k_iy_ch_n </s>	キーホルダー	キーチェーン
<s> `ae `m_ae b_iy </s>	アマビエ	アマイ
<s> `k_aw_n_t </s>	カウント	カウント
<s> `b_ae_k `m_aa_r k_er </s>	バックマーカー	バックマーカー
<s> `sh_ey_l </s>	シェール	シェール
<s> `ao d_ax `t_ao r_iy ax_m </s>	オーディトリアム	オーディトリウム
<s> k_ax `n_ae_l </s>	カナル	カナル
<s> th_ih ax `r_eh t_ih k_ax_l </s>	セオレティカル	シアレティカル
<s> `k_ae_l k_y_ax `l_ey t_er </s>	カルキュレーター	カルキュレーター
<s> `ch_aa_r_t </s>	チャート	チャート
<s> `r_iy `f_ih_l </s>	リフィル	リフィル
<s> `s_ae hh_ax_l </s>	サヘル	サヘル
<s> `k_aa_n t_eh_k_s_t `p_r_aa p_er t_iy </s>	コンテキストプロパティ	コンテキストプロパティ
<s> `hh_ay jh_ae_b </s>	ヒジャーブ	ハイジャーブ
<s> `p_eh r_ax `d_ay_m `ch_ey_n_jh </s>	パラダイムチェンジ	パラダイムチェンジ
<s> `p_eh `r_ae `f_iy l_iy ax </s>	パラフィリア	パラフィリア
<s> `s_ow_p </s>	シャボン	ソープ
<s> `n_ey ch_er </s>	ネイチャー	ナチュ
<s> `z_ih_p jh_ih_s </s>	ジップジス	ジップジス
<s> `y_eh l_ow `hh_eh_d `m_aa n_ax t_er </s>	イエローヘッドモニター	エロアマニター
<s> m_ih `m_aa `l_eh_t `ch_iy_z </s>	ミモレットチーズ	ミモレットチーズ
<s> `m_aa d_ax_l </s>	モデル	モデル
<s> `s_ih_ng k_w_ih `d_iy ax </s>	チンクエディア	シンキデオ
<s> `b_oy l_ih_ng </s>	ボイリング	ボーイリング
<s> `w_eh `s_t_er_n `d_ih jh_ax t_ax_l </s>	ウエスタンデジタル	アエスタンデジタル
<s> `m_ih `d_ih `s_k_er_t </s>	ミディスカート	ミディスカート
<s> `k_aa l_ih_jh `r_ih_ng </s>	カレッジリング	コレッジリング
<s> `ih_n k_r_ax `m_eh_n t_ax_l `s_er_ch </s>	インクリメンタルサーチ	インクリメンタルサーチ
<s> `hh_ay d_r_ax `p_aa n_ih_k_s </s>	ハイドロポニック	ハイドロポニック
<s> ih `n_ae_n t_iy `aa t_r_ax p_iy </s>	エナンチオトロピー	エナンチオトロピー
<s> `b_eh k_w_er ax_l </s>	ベクレル	ベクレル
<s> k_ax_m `p_l_iy_t </s>	コンプ	コンプリート
<s> `hh_ay p_er `v_ay z_er </s>	ハイパーバイザー	ハイパーバイザー
<s> `t_eh_k s_ax_s `r_ih_g </s>	テキサスリグ	テクシスリグ
<s> `ey p_r_ax `k_aa_t </s>	アプリコット	アプリコット
<s> `r_ow l_ih_ng `p_l_ae_n </s>	ローリングプラン	ローリングプラン
<s> `y_uw r_ax `k_r_ae_t </s>	ユーロクラート	ユーロクラット
<s> `ao_r `th_ao er `iy_k s_iy ax </s>	オルトレキシア	オートロキシア
<s> `s_t_ae_k `s_eh_g m_ax_n_t </s>	スタックセグメント	スタックセグメント
<s> `r_ow_l `m_aa d_ax_l </s>	ロールモデル	ロールモデル
<s> ae_d `m_ih n_ih `s_t_r_ey sh_ax_n </s>	アドミニストレーション	アドミニストレーション
<s> `g_l_uw `k_aa_k_r t_iy k_oy_d </s>	グルココルチコイド	グルルティコイド
<s> `th_er m_ih s_t_er </s>	サーミスター	サーミスター
<s> `hh_ae_f `v_aa l_iy </s>	ハーフボレー	ハーフボリ
<s> `n_aa_n `s_t_aa_p </s>	ノンストップ	ノンストップ
<s> `d_r_aa_p `hh_ae_n d_ax_l </s>	ドロップハンドル	ドロップハンドル
<s> `n_ih_m d_ax </s>	ニムダ	ニンダ
<s> `w_ey f_er `s_k_ey_l `ih_n t_ax `g_r_ey sh_ax_n </s>	ウエハスケールインテグレーション	ウェイファスケールインタグレーション
<s> `f_eh l_ow `sh_ih_p </s>	フェローシップ	フェロシップ
<s> `b_eh_l `k_ae_n t_ow </s>	ベルカント	ベルキャント
<s> `k_ae b_ax n_ax_t `f_r_ey_m </s>	キャビネットフレーム	カバネットフレーム
<s> `s_aa l_ax `d_eh r_ax t_iy </s>	ソリダリティー	ソロデリティ
<s> `b_l_ae_k `hh_y_uw m_er </s>	ブラックユーモア	ブラックヒューマ
<s> s_ax_b `k_w_eh_s_t </s>	サブクエ	サブクエスト
<s> `hh_ih_t </s>	ヒット	ヒット
<s> ax_n `r_ae_p </s>	アンラップ	アンラップ
<s> `hh_ae_n_d l_ih_ng `n_oy_z </s>	ハンドリングノイズ	ハンドリングノイズ
<s> `p_r_ih t_iy `p_r_ih_n_t </s>	プリティプリント	プリティプリント
<s> `d_r_ay `ay_s </s>	ドライアイス	ドライアイス
<s> `l_ao_ng `t_ey_l </s>	ロングテール	ロングテール
<s> `f_eh_l_t </s>	フェルト	フェルト
<s> `p_er g_ax m_ax_n </s>	ベルガミン	パーゴイ
<s> `g_l_ay_m </s>	グライム	グライム
<s> k s_k_ax_s </s>	クスクス	クスクス
<s> `f_ow `t_ow `b_r_ah_sh </s>	フォトブラシ	フォトブラシ
<s> `ae v_er ih_jh </s>	アベレージ	アバレッジ
<s> d_ih `v_ay d_ax_d `s_k_er_t </s>	ディバイデッドスカート	デバイデッドスカート
<s> `ow b_ow </s>	オーボエ	オーボエ
<s> `t_r_ey s_er </s>	トレーサー	トレーサー
<s> b_uh_r b_uw `l_eh_ng_k </s>	ブールブラン	ブルブラン
<s> `t_eh d_iy `b_eh_r </s>	テディーベア	テディーベア
<s> `w_ih_sh </s>	ウィッシュ	ウィッシュ
<s> `th_er m_ax `s_t_ae_t </s>	サーモスタット	サーモスタット
<s> `m_ae k_r_ow `w_ih_n d_ow </s>	マクロウィンドウ	マクロウィンウド
<s> `l_ay_f `b_ow_t </s>	ライフボート	ライフボート
<s> `m_ow_p_t </s>	モペット	モペット
<s> `hh_eh_d `w_ih_n_d </s>	アゲンスト	ヘッドウインド
<s> ae_m `b_ih sh_ax_n </s>	アンビション	アンビション
<s> `d_ay b_ax_k </s>	ディブク	ダイバック
<s> `l_ey d_ax_l </s>	レードル	レドル
<s> `p_r_eh_t z_ax_l </s>	プレッツェル	プレッツェル
<s> `sh_ey v_ih_ng `k_r_iy_m </s>	シェービングクリーム	シビングクリーム
<s> `b_ay_t `ao_r d_er </s>	バイトオーダー	バイトオーダー
<s> `p_uh_r `l_uh_k </s>	プアルック	ルルック
<s> `s_ao_f_t `b_ao_l </s>	ソフトボール	ソフトボール
<s> `ch_ey_n `s_m_ow k_er </s>	チェーンスモーカー	チェーンスモーカー
<s> `b_l_ae_k `b_ao_r_d </s>	ブラックボード	ブラックボード
<s> `ow p_iy ax_m </s>	オピウム	オーピーウム
<s> `s_m_ao_l `b_ao_r `r_ay f_ax_l </s>	スモールボアライフル	リボリル
<s> `r_ah `th_iy n_iy ax_m </s>	ルテニウム	ラテニウム
<s> `b_ae_p t_ih z_ax_m </s>	バウチズモ	パティズム
<s> `s_eh_p t_ax_m </s>	セプタム	セプタム
<s> `k_r_ae_p_s </s>	クラップス	クラップス
<s> `k_l_ae_m_p </s>	クランプ	クランプ
<s> `ao_l `s_t_aa_r </s>	オールスター	オールスター
<s> v_ax `n_ih l_ax </s>	バニラ	バニリ
<s> `ae_l s_iy `w_ah_n </s>	アルシオーネ	アルシオーネ
<s> `s_uw_p `s_p_uw_n </s>	スープスプーン	スープスプーン
<s> ih `k_aa l_ax jh_ih_s_t </s>	エコロジスト	エコロジスト
<s> `k_l_aa_k `ah_p </s>	クロックアップ	クロックアップ
<s> `f_uh_l `s_ay_z </s>	フルサイズ	フルサイズ
<s> `ae_f t_er `n_uw_n `d_r_eh_s </s>	アフタヌーンドレス	アフターヌーンドレス
<s> `t_iy `t_iy_m </s>	ティータイム	ティータイム
<s> `jh_ah_ng_k </s>	ジャンク	ジャンク
<s> `t_aa_p </s>	トップス	トップ
<s> `th_r_iy `s_t_r_ay_p_t `b_ah t_er f_l_ax `f_ih_sh </s>	ロードハウバタフライフィッシュ	スリーストライプドバタフライアシュアア
<s> `s_ao_f `t_w_eh_r `k_iy `b_ao_r_d </s>	ソフトウェアキーボード	ソフトウェアキーボード
<s> `n_uw_z `r_uw_m </s>	ニュースルーム	ニュースルーム
<s> `ae s_ax `t_ey_t </s>	アセテート	アセテート
<s> `m_ae_s `d_r_ay v_er </s>	マスドライバー	マスドライバー
<s> `l_ay_t `sh_ow </s>	ライトショー	ライトショー
<s> `t_eh_s_t `d_ey t_ax </s>	テストデータ	テストデータ
<s> `eh_n_d l_ax_s r_ih `p_iy_t </s>	エンドレスリピート	エンドレスリピート
<s> `f_ih s_k_ax_l `p_aa l_ax s_iy </s>	フィスカルポリシー	フィスカルポリシー
<s> `s_ah f_ih_k_s </s>	サフィックス	サフィックス
<s> k_ax_n `s_uw m_er </s>	コンシューマー	コンシューマー
<s> `f_ih_l ih_n </s>	フィルイン	フィルイン
<s> `f_ih `l_aa `s_ow m_ax </s>	フィロソマ	フィロソマ
<s> n_uw `t_r_ih sh_ax n_ax_l `y_iy_s_t </s>	ニュートリショナルイースト	ニュートリショナルイースト
<s> ax `g_r_eh sh_ax_n </s>	アグレション	アグレッション
<s> `m_eh t_ax_l `f_r_ey_m </s>	メタルフレーム	メタルフレーム
<s> `t_uh_r `g_ay_d </s>	ツアーガイド	トーガイド
<s> `t_ey_s_t </s>	センス	センス
<s> `hh_eh_jh </s>	ヘッジ	ヘッジ
<s> `n_uw `d_ih z_ax_m </s>	ヌーディズム	ニューディズム
<s> `w_er_k `g_r_uw_p </s>	ワークグループ	ワークグループ
<s> `m_aa `k_uw `m_eh_n t_r_iy </s>	モキュメンタリー	モキュメンタリー
<s> `s_aw er `k_r_iy_m </s>	サワークリーム	サワークリーム
<s> `b_ae_k `eh_n_d `p_r_aa `s_eh s_er </s>	バックエンドプロセッサ	バックエンドプロセッサ
<s> `g_r_ae f_ih_k d_ih `s_p_l_ey </s>	グラフィックディスプレイ	グラフィックデスプレイ
<s> `p_r_ih z_ax_n </s>	プリズン	プリズン
<s> r_ax `s_iy v_er </s>	レシーバー	リシーバー
<s> `k_ih_d n_iy `g_r_ih_l </s>	キドニーグリル	キドニーグリル
<s> `f_ey_d ih_n </s>	フェードイン	フェードイン
<s> `p_aw er `t_r_ey_n </s>	パワートレイン	パワートレイン
<s> `w_eh b_ih n_er </s>	ウェビナー	アビナー
<s> `b_oy `f_r_eh_n_d </s>	ボーイフレンド	ボーイフレンド
<s> `g_ae_ng </s>	ギャング	ギャング
<s> `hh_ow `m_ow t_ax p_iy </s>	ホモトピー	ホモトピ
<s> `ao t_ow `d_ao_r </s>	オートドア	オートドア
<s> `f_ay_l </s>	ファイル	ファイル
<s> n r_ax_n hh_ax `r_ae_s </s>	ノロンハラス	ノロハラス
<s> `iy `v_eh_ng k_iy </s>	エベンキ	エベンキ
<s> `s_w_iy_t </s>	スイートルーム	スイート
<s> ax_n `r_oy_d </s>	アネロイド	アンロイド
<s> hh_er `ae s_m_ax_n_t, d_ih `s_k_r_ih m_ax `n_ey sh_ax_n, `b_uh l_iy ih_ng, `eh_t `s_eh t_er ax `ah_v `s_t_ae_f `ae_n_d `s_t_uw d_ax_n_t_s `ae_t `eh jh_ax `k_ey sh_ax n_ax_l `ih_n s_t_ih `t_uw sh_ax_n_z </s>	アカデミックハラスメント	ヘアデスメネーブッリエットセルアオブスタッフアンドスタアットエジケーショナルインスティチューション
<s> `t_r_ae_ng k_w_ax `l_ay z_er </s>	トランキライザー	トランクイライザー
<s> `p_ae_ch `p_r_ow `g_r_ae_m </s>	パッチプログラム	パッチプログラム
<s> `r_ow l_ih_ng `p_ih_n </s>	ローリングピン	ローリングピン
<s> `r_ow_d `s_ay_d </s>	ロードサイド	ロードサイド
<s> k_ax_n `d_ih sh_ax n_er </s>	コンディショナー	コンディショナー
<s> `s_ay b_ao_r_g </s>	サイボーグ	サイボーグ
<s> `b_uh k_ih_sh </s>	ブッキッシュ	ブッキッシュ
<s> `hh_y_uw m_er ax_s_t </s>	ユーモリスト	ヒューマリスト
<s> `f_r_ae_ng_k </s>	フランク	ランスフラン
<s> `p_aa_r k_ih_ng v_ae `l_ey </s>	パーキングドライバー	パーキングバラ
<s> `g_aa_l_f `k_ao_r_s </s>	ゴルフコース	ゴルフコース
<s> `s_ay b_er m_ax_l </s>	サイバーモール	サイバーモール
<s> `g_r_iy_jh </s>	グレージュ	グレージュ
<s> `jh_ow_k </s>	ギャグ	ジョーク
<s> k_ax_n `t_r_ow_l `r_uw_m </s>	コントロールルーム	コントロールルーム
<s> `w_eh_b `s_er v_er </s>	ウェブサーバー	ウェブサーバー
<s> `v_aa l_iy </s>	ボレー	ボリ
<s> `l_aa_m b_aa_r_d `r_ey_t </s>	ロンバードレート	ロバードレート
<s> aa `k_aa_n `t_ow_d_z </s>	アカントーデス	アコントーデス
<s> `n_ey t_ax_l `s_aa_r jh_ax_n_t </s>	ナタールサージャント	ナタサージャント
<s> `p_ae_n s_ax_k sh_uw ax_l </s>	パンセクシャル	パンセクシャル
<s> s_ih l_uh `eh t_er </s>	シルエッター	シルエッター
<s> ih `m_ow sh_ax_n </s>	エモーション	エモーション
<s> `p_ey_n_t `p_r_ow `g_r_ae_m </s>	ペイントプログラム	ペイントプログラム
<s> `ih_d </s>	イド	イド
<s> p_iy `ae n_ih k_ax </s>	ピアニカ	ピアニカ
<s> `g_r_ae m_er `s_k_uw_l </s>	グラマースクール	グラマースクール
<s> `l_ah ch_ax l_ax_b_r </s>	ルチャリブレ	ラシアリーブ
<s> t_r_ae_n `z_ae_k sh_ax_n </s>	トランズアクション	トランザクション
<s> `t_uh r_ih_ng m_ax `sh_iy_n </s>	チューリングマシン	ツーリングマシン
<s> `k_ae n_ax s_t_er </s>	キャニスター	カナスタ
<s> `k_r_ow_m `y_eh l_ow </s>	クロームイエロー	クロイエロー
<s> `f_ao_r `g_r_aw_n_d </s>	フォアグラウンド	フォーグラウンド
<s> `iy_v n_ih_ng `d_r_eh_s </s>	イブニングドレス	イブニングドレス
<s> `er g_ow t_ax `m_iy_n </s>	エルゴタミン	アーゴタミン
<s> b_uw t_ax `n_aa_l </s>	ブタノール	ブタノール
<s> `hh_ih r_ax </s>	ヘーラー	ハイレ
<s> `s_ow_l </s>	ソール	ソール
<s> `d_ih jh_ax t_ax_l r_ax `k_ao_r d_ih_ng </s>	デジタルレコーディング	ディジタルラコディング
<s> `aa p_er `t_uw n_ih_s_t </s>	オポチュニスト	アパトニスト
<s> `m_aa n_ax t_er ih_ng </s>	モニタリング	モニターリン
<s> `f_ey_s `t_aw ax_l </s>	フェイスタオル	フェースタル
<s> `m_ae_n `ch_ey g_ow </s>	マンチェゴ	マンチェゴ
<s> `t_eh r_ax `r_ow s_ax </s>	テラロッサ	テリロシ
<s> `b_r_ah s_ax_l_z </s>	ブリュッセル	ブラリュッセル
<s> m_ao_r `f_aa l_ax jh_iy </s>	モルフォルジー	モルフォリジ
<s> `m_eh_n_z </s>	メンズ	メンズ
<s> s_ax_k s_ih `t_aa_k s_ax_n </s>	サキシトキシン	セクシトキシン
<s> `b_ay `ow th_ih_k_s </s>	バイオエシックス	バイオエシックス
<s> `t_eh l_ax `m_eh_r </s>	テロメア	テリメー
<s> `aa_n `s_k_r_iy_n d_ih `s_p_l_ey </s>	オンスクリーンディスプレイ	オンスクリーンデスプレイ
<s> `th_r_eh_d </s>	スレッド	スレッド
<s> `y_uw n_ih `k_ao_r_n </s>	ウニコール	ユーニコーン
<s> `d_er_n d_ax_l </s>	ディアンドル	ディアンドル
<s> `s_k_aa_t l_ax_n_d `y_aa_r_d </s>	スコットランドヤード	スコットランドヤード
<s> `d_er_t `t_r_ay ax_l </s>	ダートトライアル	ダートトライアル
<s> `l_eh_d ih_n </s>	リードイン	リードイン
<s> `m_ae k_r_ow `p_r_aa `s_eh s_er </s>	マクロプロセッサ	マクロプロセッサ
<s> `k_aa_r d_ih g_ax_n </s>	カーディガン	カーディガン
<s> `b_ae_k `k_ao_r_t </s>	バックコート	バックコート
<s> `z_ae_n z_ax `b_aa_r `b_ah t_er f_l_ax `f_ih_sh </s>	ザンジバルバタフライフィッシュ	キサンジオブタフライアシュアア
<s> `k_l_ih_k `ae_n_d `m_ao_r t_er </s>	クリックアンドモルタル	クリックアンドモーター
<s> `f_r_iy `jh_ae_z </s>	フリージャズ	フリージャズ
<s> `s_ay k_ow k_ax `n_iy s_ax_s </s>	サイコキネシス	サイココニシス
<s> m_ax `t_er n_ih t_iy `b_l_uw_z </s>	マタニティブルー	マタニティーブルース
<s> `g_r_iy_s </s>	グリース	グリース
<s> eh `s_t_ow n_iy ax </s>	エストニア	エストニア
