no-hit no-run game	ノーヒットノーランゲーム
Component software	コンポーネントソフト
crown gear	クラウンギア
chaos	カオス
receipt	レシート
infostructure	インフォストラクチャー
folk music	フォークミュージック
LIFO	リーフォー
living will	リビングウィル
conductance	コンダクタンス
chikungunya	チクングンヤ
Porto-Novo	ポルトノボ
slotter	スロッター
etalon	エタロン
smegma	スメグマ
axolotl	ウーパールーパー
indium	インジウム
sexless	セックスレス
reaper	リーパー
manganese nodule	マンガンノジュール
dogmatist	ドグマチスト
owner-driver	オーナードライバー
reversible fabric	リバーシブルファブリック
oiled silk	オイルシルク
quality paper	クオリティーペーパー
hose	ホース
misty	ミスティー
net surfer	ネットサーファ
the Encyclopédistes	アンシクロペディスト
cycloserine	サイクロセリン
static memory	スタティックメモリ
stepping	ステッピング
infotainment	インフォテイメント
bioterrorism	バイオテロ
satoshi	サトシ
multihit	マルチヒット
vodka	ウォッカ
smart TV	スマートテレビ
accident	アクシデント
Wimbledon	ウィンブルドン
machismo	マチズモ
grapefruit	グレープフルーツ
all-purpose	オールパーパス
easy listening music	イージーリスニング
commuter service	コミューターサービス
thermal	サーマル
survival foods	サバイバルフーズ
online casino	インターネットカジノ
case	ケース
coin toss	コイントス
comma	コンマ
member name	メンバーネーム
vital	バイタル
guaiacol	グアイアコール
poodle	プードル
maniac	マニアック
good morning	グーテンモルゲン
poke	ポケ
Hizbollah	ヒズボラ
coil	コイル
sit-down strike	シットダウンストライキ
acetaldehyde	アセトアルデヒド
trawl	トロール
blue chromis	ブルークロミス
starting pistol	スターターピストル
gripper	ハンドグリッパー
gunmetal	ガンメタル
stupid left-winger	バカサヨ
help topics	ヘルプトピック
tonal	トーナル
olistostrome	オリストストローム
barhead spinefoot	ヒメアイゴ
stack-pointer	スタックポインタ
meeting	ランデブー
fly-by-wire	フライバイワイヤー
thumb wheel	サムホイール
champignon	シャンピニオン
overlay model	オーバレイモデル
hazelnut	ヘーゼルナッツ
food stamp	フードスタンプ
moral majority	モラルマジョリティー
Holdings	ホールディングス
late-night screening	レイトショー
Praia	プライア
g'morning	グッモーニン
strip show	ストリップショー
one-seater	ワンシーター
statue	スタチュー
national team	ナショナルチーム
balm	バーム
colour space	カラースペース
linesman	ラインズマン
achieving over 300 runs, hitting over 30 home runs and stealing over 30 bases in a season	トリプルスリー
ziggurat	ジッグラト
navigator	ナビゲーター
catatonia	カタトニー
elegant unicornfish	エレガンスユニコーンフィッシュ
hair dye	ヘアダイ
willow green	ウィローグリーン
harmony	ハーモニー
non-scrambled channel	ノンスクランブルチャンネル
opportunity loss	チャンスロス
PSION	サイオン
team game	チームゲーム
gadolinium	ガドリニウム
chlorpicrin	クロルピクリン
panther	パンサー
civilian control	シビリアンコントロール
Panasert hole	パナホール
political fiction	ポリティカルフィクション
tracheal rings	ウルテ
individualism	インディビジュアリズム
middle	ミドル
rotary dryer	ロータリードライヤー
Philopon	ヒロポン
notebook	ノートブック
New South Wales	ニューサウスウェールズ
tabulator	タビュレーター
trachoma	トラコーマ
control code	コントロールコード
precharge	プリチャージ
cry of a goose	ギャン
biotron	バイオトロン
slugger	スラッガー
image change	イメージチェンジ
auction	オークション
fender	フェンダー
continental plan	コンチネンタルプラン
barite	バライト
Balkanization	バルカニゼーション
four-eye pygmy goby	エリホシベニハゼ
Mogadishu	モガディシュ
communications within a small range	ミニコミ
monsoon	モンスーン
paramyxovirus	パラミクソウイルス
Transact-SQL	トランザクトエスキューエル
fine bone china	ファインボーンチャイナ
Eviota lacrimae	ヤミイソハゼ
tempo di valse	テンポディヴァルス
paaramitaa	パーラミター
warming up	ウォーミングアップ
doline	ドリーネ
poi	ポイ
psilocybin	サイロシビン
transportation	トランスポーテーション
all right	ライ
partnership	パートナーシップ
pro wrestling	プロレスリング
batch job	バッチジョブ
crate training	クレートトレーニング
snapshot slide	スナップショットスライド
business elite	ビジネスエリート
Brussels	ブラッセル
information commercial	インフォマーシャル
dribble	ドリブル
linemen	ラインメン
handout	ハンドアウト
language	ランガージュ
India paper	インディアペーパー
tax-free	フリータックス
arecoline	アレコリン
prospector	ガリンペイロ
mail-reader	メールリーダー
member	メンバー
penholder	ペンホルダー
accommodator	アコモデーター
chopped salad	チョップサラダ
auto transformer	オートトランスフォーマー
self-esteem	セルフエスティーム
communicating while drinking	ノミニケーション
clutch hitter	クラッチヒッター
butterfly knife	バタフライナイフ
FDD	エフディーディー
dressmaking	ドレスメーキング
carrageenan	カラギーナン
longuette	ロンゲット
ballute	バリュート
samosa	サモサ
trypanosome	トリパノソーマ
game copier	マジコン
telecom network	テレコムネットワーク
myrrh	ミルラ
neutrality	ニュートラリティー
spool	スプール
sustain	サステイン
earphone	イヤホン
property cache	プロパティキャッシュ
standard version	スタンダードバージョン
digital	デジ
atomoxetine	アトモキセチン
Melbourne	メルボルン
display adapter	ディスプレイアダプター
chat room	チャットルーム
side-thruster	サイドスラスター
Vietminh	ベトミン
vertical	バーチカル
li hing mui	リーヒンムイ
philosopher	フィロソファー
analog controller	アナログコントローラ
hammer	ハンマー
dumbbell	ダンベル
tabbed browser	タブブラウザ
monkey banana	モンキーバナナ
bagpipe	バッグパイプ
gardener	ガーデナー
lignan	リグナン
scintillation counter	シンチレーションカウンター
pilaster	ピラスター
eye-catcher	アイキャッチャー
case management	ケースマネージメント
guidebook	ガイドブック
panning	パンニング
friend	アミーゴ
pumpkin	パンプキン
mylonite	ミロナイト
sampler	サンプラー
yogi	ヨギ
basenji	バセンジー
nonpolitical	ノンポリティカル
interface builder	インターフェースビルダ
tri-athlete	トライアスリート
single cut	シングルカット
marquise	マーキーズ
multi-monitor	マルチモニター
enigma	エニグマ
ad	アド
millet butterflyfish	ミレットシードバタフライフィッシュ
laksa	ラクサ
stakes	ステークス
slurry	スラリー
indent	インデント
narrator	ナレーター
Iceland poppy	アイスランドポピー
